;Disposa.de.connexió.a.Internet.a.la.llar.;Connexió.ràpida;Tenen.tarifa.plana.;Missatges.mobil;Quants.televisors.tenen.;TV.de.pagament.;Amb.quina.freqüència.usa.ordinador.;Utilitza.programes.ofimàtics;Informàtica.avançada;Aplicacions.específiques;Per.oci;Amb.quina.freqüència.usa.inet.;Català;Castellà;Anglès;Edat;Sexe;Nivell.d.estudis;Activitat.professional;Nivell.ingressos.mensuals;Estudia.per.Internet.;Fa.servir.correu.electrònic.;Fa.servir.xat.;Fa.teletreball.;Ha.comprat.aliments.;Ha.comprat.per.Internet.;Internet.per.a.l.oci.;Pagament.a.través.d.Internet.;Tràmits.amb.els.serveis.sanitaris.;Tràmits.per.Internet.amb.l.Admó.;Utilitza.serveis.banca.electrònica.;Visita.webs.de.l.Admó.;Visita.webs.sanitaris.
4825;FALSE;FALSE;FALSE;Entre 5 i 10;2TVs;FALSE;Diàriament;TRUE;TRUE;FALSE;TRUE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(14,25];Dona;Superiors;Estudiants;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
4840;TRUE;TRUE;TRUE;Entre 5 i 10;2TVs;FALSE;Diàriament;TRUE;TRUE;TRUE;TRUE;Diàriament;FALSE;FALSE;TRUE;Edat(14,25];Home;Secundaris;Estudiants;Més de 675.000;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
485;TRUE;FALSE;FALSE;Cap (o menys d'1 per;2TVs;FALSE;Diàriament;TRUE;TRUE;TRUE;TRUE;Setmanalment;TRUE;TRUE;TRUE;Edat(35,45];Home;Superiors;Assalariats;420.000 - 675.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
4868;TRUE;TRUE;TRUE;NO;+3TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;TRUE;Setmanalment;FALSE;TRUE;TRUE;Edat(14,25];Dona;Primaris;Estudiants;NS/NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
487;FALSE;FALSE;FALSE;Entre 10 i 20;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Mensualment;TRUE;TRUE;TRUE;Edat(25,35];Dona;Secundaris;Assalariats;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
4884;FALSE;FALSE;FALSE;Cap (o menys d'1 per;1TV;TRUE;Amb menys freqüència;FALSE;FALSE;TRUE;FALSE;Amb menys freq.;FALSE;TRUE;TRUE;Edat(55,65];Dona;Secundaris;Mestressa casa;NS/NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
4886;TRUE;FALSE;TRUE;Cap (o menys d'1 per;+3TVs;TRUE;Diàriament;FALSE;TRUE;FALSE;FALSE;Diàriament;FALSE;FALSE;TRUE;Edat(14,25];Home;Secundaris;Estudiants;NS/NC;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
4889;TRUE;FALSE;FALSE;Menys de 5;2TVs;FALSE;Diàriament;FALSE;FALSE;TRUE;FALSE;Diàriament;TRUE;TRUE;TRUE;Edat(25,35];Home;Secundaris;Estudiants;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
489;FALSE;FALSE;FALSE;Entre 10 i 20;3TVs;FALSE;Amb menys freqüència;TRUE;TRUE;FALSE;TRUE;Amb menys freq.;FALSE;FALSE;TRUE;Edat(14,25];Home;Primaris;Estudiants;NS/NC;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
491;TRUE;FALSE;FALSE;Entre 10 i 20;+3TVs;TRUE;Setmanalment;TRUE;FALSE;FALSE;TRUE;Setmanalment;TRUE;TRUE;TRUE;Edat(14,25];Dona;Primaris;Estudiants;NS/NC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
